[11:03:45.995]	TCP Server Open (Port : 25007)
[11:05:17.735]	TCP Server Open (Port : 25007)
[11:09:51.582]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:14,-58
[11:09:52.786]	[<<-RECV] :175.223.31.157, 	0001GN035.1769E129.1272
[11:09:52.786]	[<<-RECV] :175.223.31.157, 	0001WBPN_2,-50/BPN_1,-27/BPN_3,-60/BPN_4,-65
[11:09:53.238]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:12,-48
[11:09:53.690]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:14,-57
[11:09:54.143]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:11,-46
[11:09:54.746]	[<<-RECV] :175.223.31.157, 	0001GN035.1769E129.1272
[11:09:54.746]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:12,-52
[11:09:56.101]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:11,-46
[11:09:56.854]	[<<-RECV] :175.223.31.157, 	0001GN035.1769E129.1272
[11:09:56.854]	[<<-RECV] :175.223.31.157, 	0001WBPN_2,-50/BPN_1,-29/BPN_3,-58/BPN_4,-62
[11:09:56.854]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:12,-55
[11:09:57.608]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:14,-55
[11:09:58.812]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:0e,-40
[11:09:59.264]	[<<-RECV] :175.223.31.157, 	0001GN035.1769E129.1272
[11:09:59.264]	[<<-RECV] :175.223.31.157, 	0001WBPN_2,-53/BPN_1,-26/BPN_3,-57/BPN_4,-56
[11:09:59.264]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:12,-47
[11:09:59.716]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:14,-52
[11:10:00.168]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:11,-49
[11:10:01.071]	[<<-RECV] :175.223.31.157, 	0001GN035.1769E129.1272
[11:10:01.071]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:12,-52
[11:10:01.673]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:14,-40
[11:10:02.877]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:12,-55
[11:10:03.329]	[<<-RECV] :175.223.31.157, 	0001GN035.1769E129.1272
[11:10:03.329]	[<<-RECV] :175.223.31.157, 	0001WBPN_2,-32/BPN_1,-26/BPN_3,-52/BPN_4,-49
[11:10:03.782]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:14,-50
[11:10:04.233]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:11,-48
